"","GLOB_EFF0.1","CLUSTERING0.1","GLOB_EFF0.2","CLUSTERING0.2","GLOB_EFF0.3","CLUSTERING0.3","PH_BS","PH_BD","PH_CS","MST_LEAF","MST_DIAM","RAW_FC"
"sub-100206",0.811885430917943,0.596747870094479,1.64133905252793,0.562922813036021,2.75650998584308,0.579822009241828,0.904196561724312,1.1238849238,0.611837159870633,0.415525114155251,0.18348623853211,0.13740350654796
"sub-100307",0.857440847268629,0.571212070745762,1.70801827821394,0.535617839317947,2.9067467281424,0.548205574123501,0.898487890683486,1.2554585858,0.594579253647672,0.447488584474886,0.192660550458716,0.131960185187365
"sub-100408",0.673066542251057,0.615311705656801,1.41202551645477,0.617423640887195,2.431511818746,0.624400001691625,0.96042874957156,1.3036235813,0.606416946760458,0.424657534246575,0.169724770642202,0.151598487501706
"sub-100610",0.740015246708497,0.660954400848356,1.55995706425532,0.612459791479628,2.66919332269698,0.593972614426481,0.901366629204587,1.1699557163,0.658994611816535,0.415525114155251,0.178899082568807,0.142844817719065
"sub-101006",0.804479262767531,0.535259617043298,1.5751761823028,0.536916053646191,2.6844201850755,0.556898833283159,0.945659134028899,1.2107851118,0.637778031762178,0.442922374429224,0.151376146788991,0.139787312431769
"sub-101107",0.703911413273996,0.611966743900777,1.45347073374488,0.59036846383094,2.44747550942041,0.596775182133097,0.957467834501376,1.5145872954,0.640959101430408,0.420091324200913,0.174311926605505,0.151802871072005
"sub-101309",0.708325241333874,0.576867559639293,1.40332527519585,0.589874110563766,2.33809584946936,0.606552832908305,0.951774110175229,1.349959586,0.59480160156984,0.442922374429224,0.151376146788991,0.152871451785664
"sub-101410",0.742052643671552,0.564479561451002,1.54834111771809,0.552861822358563,2.69545563361514,0.562572525698678,0.994110805058716,1.5130196222,0.531671873646354,0.4337899543379,0.160550458715596,0.142129558929369
"sub-101915",0.719644171535065,0.618554366044061,1.46725220245523,0.591525385669054,2.47206564784061,0.603769758274074,0.924137525553211,1.5094519199,0.671309756955184,0.442922374429224,0.169724770642202,0.149386507258634
"sub-102008",0.717901245338893,0.63398920424865,1.48405328954526,0.609766063490638,2.55932578622419,0.601241452495158,0.938279115980734,1.3677524834,0.625187782329607,0.447488584474886,0.151376146788991,0.148091033542716
"sub-102109",0.783479476763239,0.556400399654536,1.52319716071525,0.543213262343607,2.54866154687459,0.568788239384758,0.979640124470642,1.4700630124,0.60216010455055,0.424657534246575,0.229357798165138,0.145036443915073
"sub-102311",0.863561138959404,0.516432085269199,1.63252093718933,0.535470240649655,2.75577552632346,0.557068907359517,0.901729913993119,1.3461973885,0.550342123204098,0.392694063926941,0.178899082568807,0.133631740114668
"sub-102513",0.648842088157219,0.687357187021156,1.40924920926838,0.648595877396444,2.47692967496742,0.634302962151925,0.942970809944954,1.4307847089,0.668803376440785,0.415525114155251,0.160550458715596,0.15435448602277
"sub-102614",0.831849514727572,0.569490644490644,1.72359599013476,0.531328572865332,2.99680296622072,0.543143597216877,0.940166223119266,1.2307378061,0.646664321012061,0.438356164383562,0.247706422018349,0.131444634447933
"sub-102715",0.653682954444148,0.624042182513375,1.43495389239117,0.597617247109859,2.48273401304166,0.606093512918485,0.981279624033027,1.6569961883,0.588226238535848,0.429223744292237,0.178899082568807,0.15185963055486
"sub-102816",0.714927417527611,0.628108441503827,1.46771569297415,0.60700931477753,2.50730989493421,0.60828615673631,0.900852165453211,1.1106001205,0.632960473659857,0.438356164383562,0.174311926605505,0.147613646844705
"sub-103111",0.802214523968173,0.652842417839705,1.68718176264749,0.582981225472098,2.94491394129245,0.569250543970405,0.867376225458257,1.4426008624,0.611062926540806,0.424657534246575,0.165137614678899,0.133370958208681
"sub-103212",0.887719301196563,0.483218054823853,1.65045048602856,0.510945030190003,2.73208920238176,0.544945693698105,0.872030675398165,1.3526578896,0.622420167454406,0.406392694063927,0.146788990825688,0.133549174190811
"sub-103414",0.703153848490248,0.578534797406558,1.47625576337365,0.603245720616088,2.5755157671619,0.606306418648298,0.931654474643578,1.3136655506,0.55954314786256,0.429223744292237,0.18348623853211,0.143750366833126
