"","GLOB_EFF0.1","CLUSTERING0.1","GLOB_EFF0.2","CLUSTERING0.2","GLOB_EFF0.3","CLUSTERING0.3","PH_BS","PH_BD","PH_CS","MST_LEAF","MST_DIAM","RAW_FC"
"sub-100206",0.925919294722059,0.490949416899192,1.77646472547317,0.502554318492764,2.90881544167927,0.532766718854842,0.876179882212563,1.2267201599,0.582731907676674,0.41,0.180904522613065,0.126550563531927
"sub-100307",0.883558190113886,0.521701057547657,1.78084398215907,0.529189283185731,3.01337913679282,0.546490355935574,0.823227654437186,1.0346667236,0.511971244294865,0.425,0.180904522613065,0.123432934183388
"sub-100408",0.810689557814657,0.521502626807383,1.55164806868716,0.546437231226747,2.61199465938867,0.578452734986117,0.906556109522111,1.3616143547,0.590291884457286,0.455,0.170854271356784,0.139566952061124
"sub-100610",0.855173493763741,0.547716082828806,1.66698815174802,0.533295152484764,2.83629443053603,0.55875822196154,0.890194021851759,1.1151197174,0.57203794000308,0.435,0.185929648241206,0.132650140750798
"sub-101107",0.849520419211656,0.553467285811748,1.59352931991828,0.553751759965043,2.58998606930491,0.57705390427097,0.902496143744221,1.2436978473,0.650593858032245,0.39,0.175879396984925,0.138448471976981
"sub-101309",0.805334614198344,0.561405485812166,1.59224238158924,0.556003133732658,2.69159152685519,0.572520641831277,0.931934464656784,1.2118647437,0.599297372677903,0.43,0.185929648241206,0.137726547629745
"sub-101410",0.829232921508891,0.53321388280576,1.63964247119141,0.535915319096408,2.71572924636805,0.556580055045195,0.910687579498995,1.1773644898,0.588076267296842,0.415,0.190954773869347,0.135264335252193
"sub-101915",0.952240654675814,0.48475943138327,1.76980208632892,0.507958856915016,2.89173465327118,0.546652783421373,0.794308033034673,1.3645588305,0.515590573336288,0.44,0.165829145728643,0.124288977811441
"sub-102109",0.799263116449124,0.515861473435441,1.5327190901982,0.538883783767336,2.52528377939754,0.583336803097806,0.95979698411206,1.5022809755,0.586888270761504,0.43,0.236180904522613,0.142462860737913
"sub-102311",0.809013068165071,0.566421207658321,1.67527777588309,0.544432740644494,2.86954104037472,0.563407882671207,0.893691701234171,1.2235042682,0.581241821609797,0.455,0.175879396984925,0.131774188307086
"sub-102513",0.946769730161576,0.509077688654593,1.77952161242603,0.51377819123526,2.90869024577107,0.550637139040181,0.839805104992965,1.2710128418,0.615281658885815,0.43,0.180904522613065,0.125428598646813
"sub-102614",0.902126056946864,0.534973257100701,1.80277975871091,0.514626424251616,3.04935804533815,0.531880236246932,0.8555604081799,1.436029339,0.507748704563567,0.445,0.170854271356784,0.124543856580357
"sub-102715",0.75247955284235,0.607666527021366,1.53966572050859,0.578652664211431,2.60448711841961,0.581669616421589,0.921091671911558,1.3055388131,0.562392746818589,0.42,0.206030150753769,0.143121135692124
"sub-103010",0.583956917132094,0.603025252631801,1.16296281567869,0.59870194416021,1.85074975490426,0.625752296484004,1.04829159420653,1.5085184929,0.687056517251907,0.425,0.155778894472362,0.183955671679228
"sub-103111",0.915269849994797,0.490896407394489,1.71946198727157,0.504859190344481,2.84344896665288,0.536050317329311,0.828010822244724,0.8910174208,0.608258967077863,0.46,0.165829145728643,0.128102142123999
"sub-103212",0.887631564898581,0.520161566372287,1.6925178873758,0.51385536172013,2.80702692793187,0.541283682045981,0.859265845846231,1.0887791912,0.612079222892103,0.425,0.160804020100503,0.131837842519589
"sub-103414",0.92383177250529,0.524717497601947,1.81655014033453,0.515844392089489,3.05667133630094,0.546876778114118,0.88677484628593,1.419371333,0.568071528078716,0.42,0.180904522613065,0.124196991411769
"sub-103818",0.795698778871966,0.530218905019797,1.59717771198185,0.539160762007502,2.66806583224623,0.555791214021493,0.921332497057789,1.2830314847,0.562278650732529,0.42,0.175879396984925,0.137724641673803
"sub-104012",0.729903393880869,0.602638306575314,1.51196062737832,0.596039310875614,2.59052813591994,0.61329707161689,0.901623210688945,1.3600587046,0.587996913855631,0.455,0.160804020100503,0.142290219778894
"sub-104416",0.860115963824905,0.49833981595674,1.64336596571412,0.534310952526,2.80577723620021,0.563761584899243,0.881653778103015,1.2922957358,0.518633733561839,0.415,0.231155778894472,0.130889070030493
"sub-105014",0.721752052005188,0.608950186462218,1.47656855314729,0.594171535742624,2.54703461698738,0.607654689562597,0.937711638705528,1.5191952763,0.581708506516752,0.45,0.165829145728643,0.145563036999487
"sub-105115",0.774225082509395,0.530386008303153,1.48141227535118,0.571567632128994,2.45693826936682,0.615376918779652,0.904163082307035,1.3712942281,0.55688005893145,0.445,0.180904522613065,0.142589567624428
"sub-105216",0.878838568119314,0.508326116540888,1.74617116232796,0.49614264548102,2.99073647037227,0.525037234862103,0.909354240961307,1.5194142675,0.645731060918485,0.435,0.190954773869347,0.128263148311448
"sub-105620",0.806868879604012,0.534710066251579,1.60207768329208,0.548224988198457,2.72281642815767,0.571721632673265,0.958118707733668,1.3474689404,0.577025832641737,0.425,0.206030150753769,0.138025232021535
"sub-105923",0.787985925655166,0.562514832687287,1.53701422435692,0.555880096604631,2.51768778038771,0.583128931360799,0.936495934392462,1.246538973,0.651956970995062,0.405,0.14070351758794,0.146513175783069
"sub-106016",0.931105409424323,0.492775354416576,1.74072109858917,0.506621967617749,2.82511424636086,0.541262840553819,0.840595611604523,1.1890160871,0.601809218753344,0.44,0.180904522613065,0.128433194242814
"sub-106319",0.91404264122364,0.483481591002739,1.74160962266959,0.500904994557375,2.87707162238585,0.530972088327068,0.859348782253769,1.1554470945,0.539654504782508,0.42,0.190954773869347,0.127645208918537
"sub-106521",0.799809217324286,0.544857621440536,1.5444765719882,0.553990840292915,2.58086153238039,0.585096735611789,0.910550925434673,1.3103997454,0.626227478261855,0.435,0.195979899497487,0.139555432264081
"sub-106824",0.696382234972124,0.571567672833496,1.40510173515129,0.618786874530557,2.40266816806506,0.641666484190243,0.964410161647739,1.4741508742,0.601678363241769,0.415,0.185929648241206,0.149942725395657
"sub-107018",0.670991455100184,0.560379046876076,1.34177624933512,0.565367907423857,2.26540657821637,0.5917989993474,1.04109901576884,1.3258417855,0.686303574561907,0.415,0.281407035175879,0.1592278295822
"sub-107321",0.832993673847296,0.536865877629543,1.61918310603473,0.55852186404507,2.63151767702896,0.591635312420695,0.847113842688442,1.1471099713,0.557197790654009,0.4,0.195979899497487,0.135153328479249
"sub-107422",0.770339839647718,0.560079443892751,1.63392521773505,0.555439811268728,2.80873071442404,0.569522093493197,0.942701785478392,1.2951714345,0.563770288052312,0.435,0.21105527638191,0.135529790910253
"sub-107725",0.980576735454293,0.482375979112272,1.86316608612815,0.489580555449731,3.06827189525756,0.515492066568431,0.823250444371859,1.2717126735,0.503788215546823,0.46,0.160804020100503,0.121067817569756
"sub-108020",0.62707028323187,0.63595381376656,1.39953664622186,0.611468080870242,2.42019387242569,0.60539934760664,1.0260770646206,1.6749208167,0.562332339251106,0.415,0.175879396984925,0.156601985948384
"sub-108222",0.720188446415593,0.592299545199676,1.48243043121182,0.589695624049371,2.549848031439,0.600099938835248,0.996091168882915,1.2103246428,0.734648632286519,0.44,0.165829145728643,0.148148550430303
"sub-108323",0.771210435265468,0.580940588775271,1.62876032471322,0.567323206185881,2.83477353898073,0.57328426738309,0.947142456029146,1.4081784426,0.546230948323566,0.425,0.185929648241206,0.136109406381188
"sub-108525",0.893235582666344,0.500058338972767,1.65529396767529,0.514966062089685,2.67024814678918,0.556215133543591,0.884921342582915,1.1566063119,0.592798756254811,0.415,0.195979899497487,0.134659073863921
"sub-108828",0.784455146786175,0.594632315929163,1.61421806905362,0.540582813518294,2.69019283810781,0.542730900155549,0.924426199901508,1.3895367676,0.636675125133566,0.4,0.236180904522613,0.141734257216072
"sub-109325",0.783545182478789,0.53213139384006,1.55827925359621,0.547125169553988,2.61090951992413,0.570726570726571,0.919875753321608,1.285998185,0.55616268931775,0.475,0.195979899497487,0.140126129163121
"sub-109830",1.04480985564088,0.447481644296871,1.90792980316753,0.477428240250271,3.11517160623575,0.514626329088165,0.734611252443719,0.9076013431,0.495203709913825,0.435,0.165829145728643,0.116093038951878
"sub-110007",0.902446807414509,0.573170164254804,1.81581999106072,0.51629310508436,3.07648752854564,0.534769181771133,0.867227454458291,1.2152148275,0.573469127523009,0.42,0.160804020100503,0.124903567475525
"sub-110411",0.780743456955061,0.558202149077061,1.59483882957243,0.540662152185535,2.75879563938844,0.552476331074264,0.967630753778895,1.4963611726,0.579719862938523,0.42,0.180904522613065,0.138190184897772
"sub-110613",0.658328557633682,0.639515955047365,1.43914786027771,0.636435037823984,2.55802243620279,0.630403789809275,0.956694734019095,1.3585182026,0.596653750350299,0.435,0.14572864321608,0.148675187617563
"sub-111009",0.72514643254236,0.595557669637871,1.50501135133242,0.594966496255464,2.55123318665656,0.611211074952674,0.928315534819598,1.226848491,0.559582022884581,0.415,0.175879396984925,0.144445221562527
"sub-111211",0.861027251337659,0.524523220907646,1.64892361124029,0.528190956299918,2.69201904659617,0.559432622527368,0.87847355361809,1.4144255994,0.545436931658569,0.41,0.195979899497487,0.134951370148357
"sub-111312",0.89757125913804,0.487940280172923,1.68363049060657,0.515537508807061,2.74258412250527,0.555912864803461,0.875309241663317,1.1941955266,0.568370072874925,0.435,0.190954773869347,0.131608225156256
"sub-111413",0.934916868947624,0.484546292031322,1.76438613090101,0.504815821910596,2.93396680023443,0.536133401692164,0.843812196711558,1.1313508576,0.531646860709498,0.435,0.130653266331658,0.12515713983552
"sub-111514",0.894117394795723,0.52290792396939,1.82284064935859,0.514910837540894,3.22885959266356,0.529187180599134,0.893537416618593,1.4299198525,0.564785720920869,0.45,0.155778894472362,0.123742992650771
"sub-111716",0.821276922422716,0.538272898264327,1.61540116250116,0.543288789248964,2.75998603079921,0.560524726279701,0.92155966351608,1.239155968,0.690787516478296,0.43,0.185929648241206,0.134968398774859
"sub-112112",0.762545587475573,0.615354148788699,1.51084245417828,0.554591628665703,2.47759247358466,0.571369175707792,0.961850237540201,1.2083374201,0.675737855807449,0.46,0.165829145728643,0.149334168580768
"sub-112314",0.823216543552868,0.510234623925847,1.60537817019639,0.529240728890325,2.70746719880375,0.556275262845562,0.921872091028141,1.125927672,0.539286913140466,0.43,0.195979899497487,0.136436264534132
"sub-112920",0.810180898302202,0.539704026614661,1.62099513429195,0.533695665585016,2.73458579401651,0.555561208051415,0.919871760882915,1.3257174109,0.564214123485616,0.445,0.160804020100503,0.1362119688118
"sub-113215",0.983175541079538,0.439872433105165,1.83246511419723,0.464567683581174,3.03547857813658,0.511432757500682,0.896205994092462,1.1271357869,0.57297557724326,0.39,0.231155778894472,0.12269503419964
"sub-113316",0.600733875503427,0.648278036094255,1.27664053672775,0.63782220036451,2.20775056940495,0.634124737119537,1.01576714836935,1.487146951,0.648325642238782,0.45,0.165829145728643,0.16589364111678
"sub-113619",0.813427656504448,0.504022343701511,1.56247064814007,0.53583689919395,2.62083858151531,0.5598142317203,0.91121428129598,1.1845434769,0.644055032449703,0.43,0.185929648241206,0.139335627796086
"sub-113922",0.859079376327108,0.497875636722143,1.63364766526837,0.523505318498594,2.67064965237786,0.560710188351396,0.893758568296482,1.3506435218,0.521342423599637,0.475,0.14070351758794,0.135078124944105
"sub-114116",0.673398067332657,0.629030257936508,1.43799144977906,0.584946675634128,2.43172994269358,0.598274882150379,0.966269448845729,1.3182908868,0.584294888161624,0.455,0.185929648241206,0.1540248079577
"sub-114217",0.764610182242257,0.51351289028271,1.44637075022884,0.550684323170769,2.38798332374242,0.586180801323348,0.945110289847236,1.3825687626,0.637056405972394,0.425,0.170854271356784,0.148627255360489
