"","GLOB_EFF0.1","CLUSTERING0.1","GLOB_EFF0.2","CLUSTERING0.2","GLOB_EFF0.3","CLUSTERING0.3","PH_BS","PH_BD","PH_CS","MST_LEAF","MST_DIAM","RAW_FC"
"sub-100206",0.893731530030623,0.48318667504714,1.70589584167906,0.505291079944691,2.81294380969124,0.53701999498034,0.887831169296789,1.5863977283,0.479755090918061,0.397260273972603,0.18348623853211,0.130114186112437
"sub-100307",0.814173536844522,0.496266314224352,1.50079288309413,0.522957365852347,2.37827895818902,0.562046808484423,0.927122091241284,1.1859622524,0.610849602118173,0.438356164383562,0.142201834862385,0.147826514096608
"sub-100408",0.771797100388511,0.606962380685008,1.61818119883947,0.576935256861365,2.72561517120677,0.581798953789209,0.894510400226147,1.1921091816,0.612076048047384,0.406392694063927,0.151376146788991,0.138954421744251
"sub-100610",0.912230044971363,0.499841145093056,1.73066217803986,0.514368617822666,2.90897743424271,0.538696335246401,0.860413231482569,1.4284987592,0.589406465763775,0.429223744292237,0.165137614678899,0.128073622459783
"sub-101006",0.934641628048692,0.498731737012987,1.79061498832985,0.493652116196636,2.97339733107454,0.520312610768229,0.857603381910092,1.262726617,0.531840019728405,0.424657534246575,0.146788990825688,0.126193039584127
"sub-101107",0.778350784612142,0.53372133979638,1.5092237230622,0.550119160554386,2.48795317661841,0.576329396907744,0.907908805919266,1.015061083,0.609145751953559,0.438356164383562,0.155963302752294,0.14388166046476
"sub-101309",0.892265555193911,0.485659297612154,1.65307089529342,0.506853668453496,2.70896131470708,0.546849495355217,0.876623165508257,1.3564118724,0.604890050573301,0.4337899543379,0.169724770642202,0.133478758269483
"sub-101410",0.966066301999039,0.44472443799855,1.75566282944841,0.481059012506215,2.87570191552157,0.52644495383141,0.852067571851376,1.1096723782,0.608532356910913,0.415525114155251,0.169724770642202,0.125982926126949
"sub-101915",0.841370481852706,0.504630541871921,1.59045075607278,0.545198143684703,2.63285028183424,0.581308475273313,0.892639336434404,1.150573908,0.6159707654812,0.410958904109589,0.151376146788991,0.135747221120705
"sub-102008",0.935414242468471,0.460955741192342,1.74440369300142,0.489797075161546,2.87366106509134,0.519496481059822,0.850021244361927,1.1035805322,0.547340692256235,0.397260273972603,0.211009174311927,0.127443726929127
"sub-102109",0.832345861892854,0.510693685876168,1.58320662184748,0.542905221113751,2.64505935204725,0.567033261745481,0.921444831459174,1.3699589782,0.535531578456655,0.415525114155251,0.174311926605505,0.137880692517284
"sub-102311",0.929163217841124,0.489155020953517,1.76123638527824,0.499436515678123,2.93698598119084,0.529492753935455,0.867002393844954,1.2584234491,0.546071921817382,0.4337899543379,0.155963302752294,0.12697923156711
"sub-102513",0.954468856652103,0.498132848645076,1.78393387890331,0.5135556001063,2.91610244435514,0.541811073745668,0.816730844611009,1.0602370875,0.540279577991496,0.461187214611872,0.137614678899083,0.124520114521285
"sub-102614",0.579590113304806,0.588521002470879,1.17258731225039,0.638974725152966,1.98218332608999,0.678286733613117,1.0405540221445,1.6003974278,0.633012028292155,0.429223744292237,0.18348623853211,0.173381185980882
"sub-102715",0.829701050323904,0.531742629114174,1.64219718984461,0.538553190697155,2.74395063282669,0.564096140999949,0.901049457780275,1.3253764577,0.642339107107827,0.442922374429224,0.151376146788991,0.135188093069773
"sub-102816",0.962713688563507,0.485867663705279,1.79260831188265,0.488598204375255,2.90015819846498,0.523102215228335,0.80237864036422,0.9262939838,0.584801123652673,0.410958904109589,0.155963302752294,0.125652295653442
"sub-103010",0.789839005172863,0.574622328235349,1.59413327197736,0.568225190839695,2.69807619713019,0.584689290155275,0.906332565839908,1.212775113,0.58669590703522,0.415525114155251,0.151376146788991,0.13739107891773
